result_type,pct_of_outcomes,red_meter,blue_meter,tko_threshold,punch_ko_threshold,bout_length,meter_max,fight_allows_draw
draw,10.3,0,0,3,4,5,2,True
red corner ko,31.8,0,0,3,4,5,2,True
red corner decision,12.8,0,0,3,4,5,2,True
blue corner ko,31.4,0,0,3,4,5,2,True
blue corner decision,13.6,0,0,3,4,5,2,True
draw,0.0,0,0,3,4,5,2,False
red corner ko,31.8,0,0,3,4,5,2,False
red corner decision,17.8,0,0,3,4,5,2,False
blue corner ko,31.4,0,0,3,4,5,2,False
blue corner decision,19.0,0,0,3,4,5,2,False
draw,8.6,1,0,3,4,5,2,True
red corner ko,54.4,1,0,3,4,5,2,True
red corner decision,15.7,1,0,3,4,5,2,True
blue corner ko,13.9,1,0,3,4,5,2,True
blue corner decision,7.4,1,0,3,4,5,2,True
draw,0.0,1,0,3,4,5,2,False
red corner ko,54.4,1,0,3,4,5,2,False
red corner decision,19.7,1,0,3,4,5,2,False
blue corner ko,13.9,1,0,3,4,5,2,False
blue corner decision,12.0,1,0,3,4,5,2,False
draw,4.7,1,-1,3,4,5,2,True
red corner ko,74.6,1,-1,3,4,5,2,True
red corner decision,13.2,1,-1,3,4,5,2,True
blue corner ko,4.7,1,-1,3,4,5,2,True
blue corner decision,2.8,1,-1,3,4,5,2,True
draw,0.0,1,-1,3,4,5,2,False
red corner ko,74.6,1,-1,3,4,5,2,False
red corner decision,15.4,1,-1,3,4,5,2,False
blue corner ko,4.7,1,-1,3,4,5,2,False
blue corner decision,5.3,1,-1,3,4,5,2,False
draw,10.3,0,0,3,4,5,3,True
red corner ko,31.8,0,0,3,4,5,3,True
red corner decision,12.8,0,0,3,4,5,3,True
blue corner ko,31.4,0,0,3,4,5,3,True
blue corner decision,13.6,0,0,3,4,5,3,True
draw,0.0,0,0,3,4,5,3,False
red corner ko,31.8,0,0,3,4,5,3,False
red corner decision,17.8,0,0,3,4,5,3,False
blue corner ko,31.4,0,0,3,4,5,3,False
blue corner decision,19.0,0,0,3,4,5,3,False
draw,8.5,1,0,3,4,5,3,True
red corner ko,54.7,1,0,3,4,5,3,True
red corner decision,15.6,1,0,3,4,5,3,True
blue corner ko,13.9,1,0,3,4,5,3,True
blue corner decision,7.4,1,0,3,4,5,3,True
draw,0.0,1,0,3,4,5,3,False
red corner ko,54.7,1,0,3,4,5,3,False
red corner decision,19.6,1,0,3,4,5,3,False
blue corner ko,13.9,1,0,3,4,5,3,False
blue corner decision,11.9,1,0,3,4,5,3,False
draw,4.6,1,-1,3,4,5,3,True
red corner ko,75.0,1,-1,3,4,5,3,True
red corner decision,12.9,1,-1,3,4,5,3,True
blue corner ko,4.7,1,-1,3,4,5,3,True
blue corner decision,2.8,1,-1,3,4,5,3,True
draw,0.0,1,-1,3,4,5,3,False
red corner ko,75.0,1,-1,3,4,5,3,False
red corner decision,15.1,1,-1,3,4,5,3,False
blue corner ko,4.7,1,-1,3,4,5,3,False
blue corner decision,5.2,1,-1,3,4,5,3,False
draw,17.9,0,0,3,5,5,2,True
red corner ko,19.0,0,0,3,5,5,2,True
red corner decision,21.6,0,0,3,5,5,2,True
blue corner ko,19.0,0,0,3,5,5,2,True
blue corner decision,22.5,0,0,3,5,5,2,True
draw,0.0,0,0,3,5,5,2,False
red corner ko,19.0,0,0,3,5,5,2,False
red corner decision,30.0,0,0,3,5,5,2,False
blue corner ko,19.0,0,0,3,5,5,2,False
blue corner decision,32.0,0,0,3,5,5,2,False
draw,14.4,1,0,3,5,5,2,True
red corner ko,39.8,1,0,3,5,5,2,True
red corner decision,27.9,1,0,3,5,5,2,True
blue corner ko,6.3,1,0,3,5,5,2,True
blue corner decision,11.5,1,0,3,5,5,2,True
draw,0.0,1,0,3,5,5,2,False
red corner ko,39.8,1,0,3,5,5,2,False
red corner decision,34.2,1,0,3,5,5,2,False
blue corner ko,6.3,1,0,3,5,5,2,False
blue corner decision,19.6,1,0,3,5,5,2,False
draw,8.4,1,-1,3,5,5,2,True
red corner ko,59.7,1,-1,3,5,5,2,True
red corner decision,24.4,1,-1,3,5,5,2,True
blue corner ko,3.0,1,-1,3,5,5,2,True
blue corner decision,4.4,1,-1,3,5,5,2,True
draw,0.0,1,-1,3,5,5,2,False
red corner ko,59.7,1,-1,3,5,5,2,False
red corner decision,27.8,1,-1,3,5,5,2,False
blue corner ko,3.0,1,-1,3,5,5,2,False
blue corner decision,9.4,1,-1,3,5,5,2,False
draw,17.9,0,0,3,5,5,3,True
red corner ko,19.0,0,0,3,5,5,3,True
red corner decision,21.6,0,0,3,5,5,3,True
blue corner ko,19.0,0,0,3,5,5,3,True
blue corner decision,22.5,0,0,3,5,5,3,True
draw,0.0,0,0,3,5,5,3,False
red corner ko,19.0,0,0,3,5,5,3,False
red corner decision,30.0,0,0,3,5,5,3,False
blue corner ko,19.0,0,0,3,5,5,3,False
blue corner decision,32.0,0,0,3,5,5,3,False
draw,14.3,1,0,3,5,5,3,True
red corner ko,40.1,1,0,3,5,5,3,True
red corner decision,27.8,1,0,3,5,5,3,True
blue corner ko,6.3,1,0,3,5,5,3,True
blue corner decision,11.5,1,0,3,5,5,3,True
draw,0.0,1,0,3,5,5,3,False
red corner ko,40.1,1,0,3,5,5,3,False
red corner decision,34.0,1,0,3,5,5,3,False
blue corner ko,6.3,1,0,3,5,5,3,False
blue corner decision,19.5,1,0,3,5,5,3,False
draw,8.3,1,-1,3,5,5,3,True
red corner ko,60.1,1,-1,3,5,5,3,True
red corner decision,24.2,1,-1,3,5,5,3,True
blue corner ko,3.0,1,-1,3,5,5,3,True
blue corner decision,4.3,1,-1,3,5,5,3,True
draw,0.0,1,-1,3,5,5,3,False
red corner ko,60.1,1,-1,3,5,5,3,False
red corner decision,27.5,1,-1,3,5,5,3,False
blue corner ko,3.0,1,-1,3,5,5,3,False
blue corner decision,9.4,1,-1,3,5,5,3,False
draw,23.4,0,0,3,6,5,2,True
red corner ko,9.8,0,0,3,6,5,2,True
red corner decision,28.1,0,0,3,6,5,2,True
blue corner ko,9.9,0,0,3,6,5,2,True
blue corner decision,28.7,0,0,3,6,5,2,True
draw,0.0,0,0,3,6,5,2,False
red corner ko,9.8,0,0,3,6,5,2,False
red corner decision,39.4,0,0,3,6,5,2,False
blue corner ko,9.9,0,0,3,6,5,2,False
blue corner decision,40.9,0,0,3,6,5,2,False
draw,18.5,1,0,3,6,5,2,True
red corner ko,25.9,1,0,3,6,5,2,True
red corner decision,38.0,1,0,3,6,5,2,True
blue corner ko,3.7,1,0,3,6,5,2,True
blue corner decision,13.9,1,0,3,6,5,2,True
draw,0.0,1,0,3,6,5,2,False
red corner ko,25.9,1,0,3,6,5,2,False
red corner decision,45.8,1,0,3,6,5,2,False
blue corner ko,3.7,1,0,3,6,5,2,False
blue corner decision,24.6,1,0,3,6,5,2,False
draw,11.3,1,-1,3,6,5,2,True
red corner ko,45.4,1,-1,3,6,5,2,True
red corner decision,36.1,1,-1,3,6,5,2,True
blue corner ko,1.5,1,-1,3,6,5,2,True
blue corner decision,5.7,1,-1,3,6,5,2,True
draw,0.0,1,-1,3,6,5,2,False
red corner ko,45.4,1,-1,3,6,5,2,False
red corner decision,40.3,1,-1,3,6,5,2,False
blue corner ko,1.5,1,-1,3,6,5,2,False
blue corner decision,12.8,1,-1,3,6,5,2,False
draw,23.4,0,0,3,6,5,3,True
red corner ko,9.8,0,0,3,6,5,3,True
red corner decision,28.1,0,0,3,6,5,3,True
blue corner ko,9.9,0,0,3,6,5,3,True
blue corner decision,28.7,0,0,3,6,5,3,True
draw,0.0,0,0,3,6,5,3,False
red corner ko,9.8,0,0,3,6,5,3,False
red corner decision,39.3,0,0,3,6,5,3,False
blue corner ko,9.9,0,0,3,6,5,3,False
blue corner decision,40.9,0,0,3,6,5,3,False
draw,18.4,1,0,3,6,5,3,True
red corner ko,26.1,1,0,3,6,5,3,True
red corner decision,37.9,1,0,3,6,5,3,True
blue corner ko,3.7,1,0,3,6,5,3,True
blue corner decision,13.9,1,0,3,6,5,3,True
draw,0.0,1,0,3,6,5,3,False
red corner ko,26.1,1,0,3,6,5,3,False
red corner decision,45.7,1,0,3,6,5,3,False
blue corner ko,3.7,1,0,3,6,5,3,False
blue corner decision,24.5,1,0,3,6,5,3,False
draw,11.2,1,-1,3,6,5,3,True
red corner ko,45.8,1,-1,3,6,5,3,True
red corner decision,35.8,1,-1,3,6,5,3,True
blue corner ko,1.5,1,-1,3,6,5,3,True
blue corner decision,5.6,1,-1,3,6,5,3,True
draw,0.0,1,-1,3,6,5,3,False
red corner ko,45.8,1,-1,3,6,5,3,False
red corner decision,40.0,1,-1,3,6,5,3,False
blue corner ko,1.5,1,-1,3,6,5,3,False
blue corner decision,12.7,1,-1,3,6,5,3,False
draw,7.3,0,0,3,4,6,2,True
red corner ko,35.6,0,0,3,4,6,2,True
red corner decision,10.8,0,0,3,4,6,2,True
blue corner ko,35.6,0,0,3,4,6,2,True
blue corner decision,10.7,0,0,3,4,6,2,True
draw,0.0,0,0,3,4,6,2,False
red corner ko,35.6,0,0,3,4,6,2,False
red corner decision,14.4,0,0,3,4,6,2,False
blue corner ko,35.6,0,0,3,4,6,2,False
blue corner decision,14.3,0,0,3,4,6,2,False
draw,5.4,1,0,3,4,6,2,True
red corner ko,59.7,1,0,3,4,6,2,True
red corner decision,12.5,1,0,3,4,6,2,True
blue corner ko,16.4,1,0,3,4,6,2,True
blue corner decision,5.9,1,0,3,4,6,2,True
draw,0.0,1,0,3,4,6,2,False
red corner ko,59.7,1,0,3,4,6,2,False
red corner decision,15.0,1,0,3,4,6,2,False
blue corner ko,16.4,1,0,3,4,6,2,False
blue corner decision,8.9,1,0,3,4,6,2,False
draw,2.9,1,-1,3,4,6,2,True
red corner ko,79.4,1,-1,3,4,6,2,True
red corner decision,9.4,1,-1,3,4,6,2,True
blue corner ko,5.9,1,-1,3,4,6,2,True
blue corner decision,2.3,1,-1,3,4,6,2,True
draw,0.0,1,-1,3,4,6,2,False
red corner ko,79.4,1,-1,3,4,6,2,False
red corner decision,10.5,1,-1,3,4,6,2,False
blue corner ko,5.9,1,-1,3,4,6,2,False
blue corner decision,4.1,1,-1,3,4,6,2,False
draw,7.3,0,0,3,4,6,3,True
red corner ko,35.7,0,0,3,4,6,3,True
red corner decision,10.8,0,0,3,4,6,3,True
blue corner ko,35.6,0,0,3,4,6,3,True
blue corner decision,10.7,0,0,3,4,6,3,True
draw,0.0,0,0,3,4,6,3,False
red corner ko,35.7,0,0,3,4,6,3,False
red corner decision,14.4,0,0,3,4,6,3,False
blue corner ko,35.6,0,0,3,4,6,3,False
blue corner decision,14.3,0,0,3,4,6,3,False
draw,5.4,1,0,3,4,6,3,True
red corner ko,60.0,1,0,3,4,6,3,True
red corner decision,12.4,1,0,3,4,6,3,True
blue corner ko,16.4,1,0,3,4,6,3,True
blue corner decision,5.9,1,0,3,4,6,3,True
draw,0.0,1,0,3,4,6,3,False
red corner ko,60.0,1,0,3,4,6,3,False
red corner decision,14.8,1,0,3,4,6,3,False
blue corner ko,16.4,1,0,3,4,6,3,False
blue corner decision,8.8,1,0,3,4,6,3,False
draw,2.9,1,-1,3,4,6,3,True
red corner ko,79.7,1,-1,3,4,6,3,True
red corner decision,9.2,1,-1,3,4,6,3,True
blue corner ko,5.9,1,-1,3,4,6,3,True
blue corner decision,2.2,1,-1,3,4,6,3,True
draw,0.0,1,-1,3,4,6,3,False
red corner ko,79.7,1,-1,3,4,6,3,False
red corner decision,10.3,1,-1,3,4,6,3,False
blue corner ko,5.9,1,-1,3,4,6,3,False
blue corner decision,4.0,1,-1,3,4,6,3,False
